,Age,Gender,City,Position,Years of experience,Seniority level,Salary_in_EUR,Main language at work,Company size,Company type,Year
661,34,Male,MÜNCHEN,SENIOR SOFTWARE TESTING ENGINEER,11.0,SENIOR,72000.0,English,1000+,PRODUCT,2018
662,33,Male,HOMEOFFICE,DEVOPS,15.0,SENIOR,65000.0,Deutsch,up to 10,AGENCY,2018
663,26,Male,BERLIN,FULL-STACK DEVELOPER,5.0,SENIOR,65000.0,English,100-1000,STARTUP,2018
664,30,Male,VIENNA,SOFTWARE DEVELOPER,7.0,MIDDLE,42000.0,English,50-100,CONSULT,2018
665,29,Female,BERLIN,QA,5.0,MIDDLE,40000.0,English,50-100,STARTUP,2018
666,33,Male,MÜNCHEN,TEST AUTOMATION ENGINEER,4.0,MIDDLE,60000.0,English,50-100,PRODUCT,2018
667,28,Male,BERLIN,IOS DEVELOPER ,6.0,MIDDLE,48000.0,English,100-1000,PRODUCT,2018
668,33,Male,MOSCOW,SAP DEVELOPER,10.0,SENIOR,50000.0,Russian,1000+,AGENCY,2018
669,27,Male,BERLIN,SCRUM MASTER,4.0,SENIOR,62000.0,English,100-1000,AGENCY,2018
670,33,Female,BERLIN,JAVA DEVELOPER,4.0,MIDDLE,55000.0,English,1000+,PRODUCT,2018
671,30,Male,BERLIN,FULL STACK,10.0,SENIOR,75000.0,English,100-1000,PRODUCT,2018
672,29,Male,BERLIN,SDET,3.0,MIDDLE,58000.0,Deutsch,10-50,PRODUCT,2018
673,32,Male,BERLIN,SENIOR SOTFWARE ENGINEER (TYPESCRIPT/JAVASCRIPT),9.0,SENIOR,65000.0,English,1000+,PRODUCT,2018
674,32,Male,MÜNCHEN,C# DEVELOPER,15.0,MIDDLE,53600.0,Deutsch,10-50,PRODUCT,2018
675,28,Male,MÜNCHEN,SOFTWARE TESTER,7.0,SENIOR,60000.0,English,100-1000,PRODUCT,2018
676,28,Male,MÜNCHEN,SOFTWARE TESTER,7.0,SENIOR,60000.0,English,100-1000,PRODUCT,2018
677,31,Male,BERLIN,DATA ANALYST,3.0,MIDDLE,51600.0,English,100-1000,PRODUCT,2018
678,33,Male,LIMASSOL,PHP DEVELOPER,12.0,SENIOR,39600.0,Russian,100-1000,PRODUCT,2018
679,32,Male,BERLIN,SOLUTION ARCHITECT,3.0,SENIOR,60500.0,Deutsch,10-50,AGENCY,2018
680,37,Male,BERLIN,SOFTWARE ENGINEER,15.0,SENIOR,65000.0,English,10-50,STARTUP,2018
681,30,Male,SAINT PETERSBURG,C++,10.0,SENIOR,15000.0,Russian,100-1000,PRODUCT,2018
682,30,Male,MÜNCHEN,BUSINESS ANALYST,7.0,SENIOR,120000.0,English,1000+,PRODUCT,2018
683,32,Male,MÜNCHEN,FULLSTACK,15.0,SENIOR,130000.0,English,100-1000,PRODUCT,2018
684,33,Male,BERLIN,JAVA DEVELOPER,1.0,JUNIOR,42000.0,English,50-100,AGENCY,2018
685,28,Male,KÖLN,.NET DEVELOPER,3.0,MIDDLE,45000.0,Deutsch,10-50,PRODUCT,2018
686,37,Male,ERLANGEN,PROJECTINGENIEUR,7.0,SENIOR,85000.0,Deutsch,1000+,PRODUCT,2018
687,32,Male,FRANKFURT,JAVA DEVELOPER,8.5,SENIOR,72000.0,English,100-1000,PRODUCT,2018
688,36,Male,MÜNCHEN,FRONTEND DEVELOPER,5.0,MIDDLE,60000.0,English,50-100,AGENCY,2018
689,30,Male,BERLIN,FULL STACK DEVELOPER,10.0,MIDDLE,47000.0,English,10-50,PRODUCT,2018
690,32,Male,MÜNCHEN,C++ DEVELOPER,5.0,MIDDLE,75000.0,English,10-50,PROJECT-BASED SOFTWARE DEVELOPMENT,2018
691,39,Male,BERLIN,GRUPPENLEITER TESTING,10.0,SENIOR,130000.0,Deutsch,100-1000,PRODUCT,2018
692,29,Male,MÜNCHEN,.NET DEVELOPER,8.0,SENIOR,77000.0,English,1000+,PRODUCT,2018
693,35,Female,BERLIN,JAVA DEVELOPER,2.0,JUNIOR,42000.0,Deutsch,10-50,PRODUCT,2018
694,36,Female,MÜNCHEN, JAVA DEVELOPER,7.0,SENIOR,80000.0,English,1000+,AUTOMOTIVE,2018
695,37,Male,BERLIN,TEAMLEAD,17.0,SENIOR,95000.0,English,100-1000,PRODUCT,2018
696,29,Male,BERLIN,SENIOR FRONTEND DEVELOPER,9.0,SENIOR,60000.0,English,100-1000,PRODUCT,2018
697,32,Male,MÜNCHEN,QA,7.0,SENIOR,71000.0,English,100-1000,PRODUCT,2018
698,32,Male,MÜNCHEN,FULL STACK DEVELOPER ,5.0,SENIOR,60000.0,English,10-50,STARTUP,2018
699,32,Male,BERLIN,DIRECTOR OF ENGINEERING,10.0,SENIOR,115000.0,English,100-1000,PRODUCT,2018
700,32,Male,MÜNCHEN,SOLUTIONS ARCHITECT,11.0,SENIOR,75000.0,English,100-1000,STARTUP,2018
701,30,Male,BONN,SOFTWARE DEVELOPER,7.0,SENIOR,62500.0,English,10-50,PRODUCT,2018
702,38,Male,SIEGEN,PCB DESIGNER,15.0,MIDDLE,64000.0,Russian,100-1000,PRODUCT,2018
703,42,Male,MÜNCHEN,IT СПЕЦИАЛИСТ,18.0,SENIOR,127000.0,Deutsch,1000+,AUTOMOTIVE,2018
704,27,Male,MÜNCHEN,SOFTWARE DEVELOPER,6.0,MIDDLE,65000.0,Deutsch,100-1000,PRODUCT,2018
705,42,Male,BERLIN,RUBY DEVELOPER,20.0,SENIOR,93000.0,English,1000+,PRODUCT,2018
706,26,Female,BERLIN,FRONT END DEVELOPER ,3.0,JUNIOR,27000.0,English,10-50,PRODUCT,2018
707,26,Male,BERLIN,QA,7.0,MIDDLE,33000.0,English,50-100,PRODUCT,2018
708,33,Male,REMOTE GERMANY,ENGINEERING MANAGER,0.0,SENIOR,83200.0,English,100-1000,STARTUP,2018
709,30,Male,BERLIN,SOFTWARE ENGINEER ,10.0,SENIOR,85000.0,English,50-100,PRODUCT,2018
710,34,Male,BERLIN,PROJECT MANAGER,10.0,SENIOR,74000.0,English,100-1000,PRODUCT,2018
711,31,Female,BERLIN,QA,9.0,SENIOR,42000.0,English,10-50,STARTUP,2018
712,44,Male,BERLIN,C# DEVELOPER,20.0,SENIOR,65000.0,Deutsch,50-100,PRODUCT,2018
713,32,Male,STUTTGART,C++ DEVELOPER,8.0,SENIOR,80400.0,English,1000+,OEM,2018
714,27,Female,FRANKFURT,ASSOCIATE IT CONSULTANT,0.0,JUNIOR,50000.0,English,100-1000,CONSULTING (BANKING),2018
715,30,Male,BERLIN,PRINCIPAL SOFTWARE ENGINEER,10.0,SENIOR,75000.0,English,1000+,PRODUCT,2018
716,25,Male,"IRELAND, DUBLIN",C# DEV,5.0,MIDDLE,50000.0,English,100-1000,AGENCY,2018
717,35,Male,KÖLN,DEVOPS ENGINEER,11.0,MIDDLE,60000.0,English,10-50,STARTUP,2018
718,26,Male,BERLIN,JAVA SCRIPT DEVELOPER,5.0,SENIOR,62500.0,English,1000+,PRODUCT,2018
719,34,Male,FRANKFURT,BI CONSULTANT,11.0,SENIOR,65000.0,Deutsch,1000+,IT CONSULTING,2018
720,36,Male,KÖLN,SOFTWARE TESTER,5.0,SENIOR,53000.0,Deutsch,100-1000,AGENCY,2018
721,35,Male,BERLIN,BACKEND DEVELOPER,12.0,SENIOR,70000.0,English,100-1000,PRODUCT,2018
722,29,Female,BERLIN,SENIOR TECH RECRUITER,7.0,SENIOR,55000.0,English,50-100,AGENCY,2018
723,33,Male,KÖLN,.NET DEVELOPER,12.0,SENIOR,60000.0,English,up to 10,PRODUCT,2018
724,28,Male,DARMSTADT,COMPUTER VISION INTERN,2.0,SENIOR,13000.0,English,50-100,PRODUCT,2018
725,34,Male,BERLIN,DEVOPS ENGINEER,3.0,MIDDLE,52000.0,English,50-100,PRODUCT,2018
726,32,Female,MÜNCHEN,SOFTWARE TESTER,8.0,MIDDLE,40000.0,Deutsch,100-1000,PRODUCT,2018
727,33,Male,BERLIN,PRODUCER,7.0,SENIOR,69000.0,English,1000+,PRODUCT,2018
728,30,Female,BERLIN,PROJECT MANAGER,11.0,SENIOR,65000.0,English,10-50,STARTUP,2018
729,38,Male,BERLIN,PHP DEVELOPER,18.0,SENIOR,68000.0,English,1000+,PRODUCT,2018
730,31,Male,MÜNCHEN,ANDROID DEVELOPER,6.0,MIDDLE,65000.0,English,50-100,PRODUCT,2018
731,35,Female,MÜNCHEN,PRODUCT MANAGER,10.0,SENIOR,80000.0,English,50-100,PRODUCT,2018
732,32,Male,BERLIN,SENIOR QA ENGINEER,9.0,SENIOR,71500.0,English,100-1000,STARTUP,2018
733,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
734,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
735,40,Male,MÜNCHEN,SENIOR PHP DEVELOPER,12.0,SENIOR,50000.0,English,50-100,PRODUCT,2018
736,32,Male,FRANKFURT,JAVA DEVELOPER,8.5,JUNIOR,68381.8,Deutsch,1000+,PRODUCT,2018
737,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
738,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
739,32,Male,MÜNCHEN,JAVA DEVELOPER,8.5,SENIOR,70000.0,English,100-1000,PRODUCT,2018
740,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
741,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
742,31,Male,MÜNCHEN,JAVA DEVELOPER,1.0,JUNIOR,51000.0,Deutsch,1000+,AGENCY,2018
743,40,Male,BERLIN,SENIOR JAVA DEVELOPER,20.0,SENIOR,75000.0,English,50-100,PRODUCT,2018
744,32,Male,FRANKFURT,SAP DEVELOPER,8.0,SENIOR,80000.0,Deutsch,100-1000,PRODUCT,2018
745,37,Male,KÖLN,SOFTWARE TESTER,5.0,MIDDLE,53000.0,Deutsch,10-50,AGENCY,2018
746,51,Male,OBERHAUSEN,SR. DATABASE ENTWICKLER (ORACLE/JAVA),25.0,SENIOR,78000.0,Deutsch,100-1000,PRODUCT,2018
747,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
748,32,Male,ESTONIA,32,3.0,SENIOR,55555.0,English,up to 10,AGENCY,2018
749,29,Male,ANDERNACH,JAVA DEVELOPER,1.0,JUNIOR,42000.0,Russian,up to 10,PRODUCT,2018
750,25,Male,MÜNCHEN,DEVELOPER,4.0,MIDDLE,60000.0,English,1000+,PRODUCT,2018
751,32,Male,BERLIN,LEAD SOFTWARE ENGINEER,17.0,SENIOR,85000.0,English,1000+,PRODUCT,2018
752,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
753,33,Male,NÜRNBERG ,PROJECT MANAGER ,11.0,SENIOR,75000.0,English,1000+,PRODUCT,2018
754,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
755,30,Male,MÜNCHEN,SOFTWAREENTWICKLER,10.0,MIDDLE,75000.0,Deutsch,100-1000,AGENCY,2018
756,52,Male,KÖLN,IT ENGINEER,30.0,MIDDLE,63000.0,English,1000+,AGENCY,2018
757,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
758,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
759,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
760,40,Male,KÖLN,JAVA DEVELOPER JUNIOR,1.0,JUNIOR,44000.0,Deutsch,10-50,PRODUCT,2018
761,32,Male,KÖLN,E.G. C# DEVELOPER,1.0,JUNIOR,45000.0,Deutsch,10-50,PRODUCT,2018
762,32,Male,KÖLN,E.G. C# DEVELOPER,1.0,JUNIOR,45000.0,Deutsch,10-50,PRODUCT,2018
763,32,Male,BERLIN,JAVA DEVELOPER,8.5,SENIOR,68381.8,English,100-1000,PRODUCT,2018
764,31,Female,MÜNCHEN,PM ,10.0,SENIOR,110000.0,English,1000+,PRODUCT,2018
0,33,Male,BERLIN,FULLSTACK DEVELOPER,13.0,SENIOR,64000.0,English,50-100,STARTUP,2019
1,29,Male,BERLIN,BACKEND DEVELOPER,3.0,MIDDLE,55000.0,English,10-50,PRODUCT,2019
2,32,Male,BERLIN,MOBILE DEVELOPER,4.0,MIDDLE,70000.0,English,1000+,STARTUP,2019
3,30,Male,BERLIN,BACKEND DEVELOPER,6.0,SENIOR,63000.0,English,100-1000,PRODUCT,2019
4,32,Male,BERLIN,EMBEDDED DEVELOPER,10.0,SENIOR,66000.0,English,50-100,PRODUCT,2019
5,33,Male,BERLIN,MACHINE LEARNING ENGINEER,11.0,MIDDLE,80000.0,English,1000+,PRODUCT,2019
6,34,Male,BERLIN,BACKEND DEVELOPER,12.0,SENIOR,85000.0,English,50-100,STARTUP,2019
7,38,Male,BERLIN,MANAGER,15.0,HEAD,81000.0,Deutsch,100-1000,PRODUCT,2019
8,32,Male,BERLIN,MOBILE DEVELOPER,8.0,LEAD,66000.0,English,100-1000,PRODUCT,2019
9,29,Male,BERLIN,MOBILE DEVELOPER,7.0,SENIOR,65000.0,English,100-1000,PRODUCT,2019
10,27,Male,BERLIN,FULLSTACK DEVELOPER,7.0,MIDDLE,63000.0,English,10-50,STARTUP,2019
11,31,Male,BERLIN,BACKEND DEVELOPER,8.0,SENIOR,65000.0,English,100-1000,PRODUCT,2019
12,23,Male,BERLIN,DEVOPS,6.0,SENIOR,83000.0,English,10-50,STARTUP,2019
13,27,Male,BERLIN,"DESIGNER (UI, UX)",9.0,SENIOR,66000.0,English,100-1000,PRODUCT,2019
14,33,Male,BERLIN,FRONTEND DEVELOPER,10.0,SENIOR,70000.0,English,10-50,STARTUP,2019
15,32,Male,BERLIN,BACKEND DEVELOPER,7.0,SENIOR,80000.0,English,100-1000,STARTUP,2019
16,31,Male,BERLIN,MOBILE DEVELOPER,6.0,MIDDLE,72000.0,English,100-1000,PRODUCT,2019
17,34,Male,BERLIN,BACKEND DEVELOPER,10.0,SENIOR,87000.0,English,50-100,PRODUCT,2019
18,33,Male,BERLIN,DEVOPS,12.0,SENIOR,90000.0,English,1000+,PRODUCT,2019
19,31,Male,BERLIN,DATA SCIENTIST,6.0,SENIOR,78000.0,English,1000+,PRODUCT,2019
20,24,Male,BERLIN,MACHINE LEARNING ENGINEER,2.0,MIDDLE,70000.0,English,10-50,STARTUP,2019
21,28,Male,HAMBURG,BACKEND DEVELOPER,7.0,SENIOR,55000.0,English,100-1000,PRODUCT,2019
22,32,Male,FRANKFURT,DEVOPS,12.0,SENIOR,160000.0,Deutsch,1000+,PRODUCT,2019
23,27,Male,BERLIN,DATA ENGINEER,5.0,SENIOR,75000.0,English,1000+,PRODUCT,2019
24,32,Male,BERLIN,DEVOPS,13.0,SENIOR,60000.0,English,50-100,PRODUCT,2019
25,32,Male,BERLIN,DEVOPS,7.0,SENIOR,72000.0,English,1000+,PRODUCT,2019
26,38,Male,BERLIN,BACKEND DEVELOPER,16.0,SENIOR,80000.0,English,up to 10,PRODUCT,2019
27,32,Male,MUNICH,DATA SCIENTIST,7.0,SENIOR,85000.0,English,10-50,CONSULTING / AGENCY,2019
28,31,Male,BERLIN,QA,9.0,SENIOR,67000.0,English,100-1000,PRODUCT,2019
29,31,Male,BERLIN,BACKEND DEVELOPER,8.0,SENIOR,60000.0,English,100-1000,PRODUCT,2019
30,32,Male,BERLIN,SOFTWARE ARCHITECT,13.0,SENIOR,78600.0,English,100-1000,PRODUCT,2019
31,44,Male,BERLIN,BACKEND DEVELOPER,20.0,SENIOR,60000.0,Deutsch,50-100,CONSULTING / AGENCY,2019
32,26,Male,BERLIN,BACKEND DEVELOPER,6.0,SENIOR,65000.0,English,100-1000,STARTUP,2019
33,31,Male,BERLIN,BACKEND DEVELOPER,7.0,SENIOR,60000.0,English,10-50,PRODUCT,2019
34,36,Male,BERLIN,BACKEND DEVELOPER,11.0,SENIOR,65000.0,English,1000+,PRODUCT,2019
35,33,Male,BERLIN,BACKEND DEVELOPER,4.0,MIDDLE,58000.0,Deutsch,1000+,PRODUCT,2019
36,37,Male,BERLIN,DATA ENGINEER,16.0,SENIOR,65000.0,English,1000+,PRODUCT,2019
37,29,Male,BERLIN,BACKEND DEVELOPER,11.0,SENIOR,190000.0,English,up to 10,STARTUP,2019
38,33,Male,BERLIN,BACKEND DEVELOPER,9.0,SENIOR,69000.0,English,100-1000,PRODUCT,2019
39,35,Male,FRANKFURT,BUSINESS ANALYST,15.0,MIDDLE,72000.0,English,1000+,PRODUCT,2019
40,35,Male,COLOGNE,BACKEND DEVELOPER,4.0,SENIOR,67000.0,English,50-100,STARTUP,2019
41,31,Male,BERLIN,BACKEND DEVELOPER,10.0,SENIOR,75000.0,English,10-50,PRODUCT,2019
42,35,Male,BERLIN,DATA ENGINEER,10.0,MIDDLE,70000.0,English,100-1000,PRODUCT,2019
43,27,Male,BERLIN,BACKEND DEVELOPER,10.0,SENIOR,60000.0,English,50-100,STARTUP,2019
44,38,Female,BERLIN,MANAGER,10.0,SENIOR,85000.0,English,10-50,STARTUP,2019
45,31,Male,BERLIN,BACKEND DEVELOPER,2.0,MIDDLE,62000.0,English,1000+,PRODUCT,2019
46,29,Male,DÜSSELDORF,BACKEND DEVELOPER,9.0,SENIOR,75000.0,English,1000+,PRODUCT,2019
47,30,Male,WOLFSBURG,BACKEND DEVELOPER,4.0,SENIOR,75000.0,English,50-100,CONSULTING / AGENCY,2019
48,30,Male,BERLIN,BACKEND DEVELOPER,3.0,MIDDLE,61000.0,English,100-1000,STARTUP,2019
49,31,Male,BERLIN,FULLSTACK DEVELOPER,12.0,SENIOR,80000.0,English,1000+,PRODUCT,2019
50,33,Male,COLOGNE,BACKEND DEVELOPER,10.0,SENIOR,60000.0,Deutsch,10-50,STARTUP,2019
51,31,Male,MUNICH,FRONTEND DEVELOPER,7.0,SENIOR,56600.0,Deutsch,1000+,CONSULTING / AGENCY,2019
52,30,Male,MUNICH,DATA SCIENTIST,8.0,LEAD,81000.0,English,10-50,STARTUP,2019
53,28,Male,BERLIN,DATA SCIENTIST,4.0,SENIOR,75000.0,English,100-1000,STARTUP,2019
54,32,Male,BERLIN,DATA SCIENTIST,6.0,SENIOR,80000.0,English,1000+,PRODUCT,2019
55,27,Male,MUNICH,MOBILE DEVELOPER,5.0,SENIOR,72000.0,English,100-1000,CONSULTING / AGENCY,2019
56,31,Female,MA,"DESIGNER (UI, UX)",10.0,SENIOR,61000.0,Deutsch,10-50,PRODUCT,2019
57,28,Male,BERLIN,MACHINE LEARNING ENGINEER,6.0,MIDDLE,61000.0,English,100-1000,STARTUP,2019
58,36,Female,MUNICH,BACKEND DEVELOPER,13.0,SENIOR,76000.0,English,50-100,STARTUP,2019
59,28,Male,MUNICH,MOBILE DEVELOPER,8.0,SENIOR,75000.0,English,10-50,STARTUP,2019
60,37,Male,BERLIN,LOCALIZATION,15.0,SENIOR,60000.0,English,1000+,PRODUCT,2019
61,40,Male,BERLIN,MANAGER,15.0,SENIOR,70000.0,English,100-1000,PRODUCT,2019
62,34,Male,BERLIN,SUPPORT,9.0,SENIOR,60000.0,English,100-1000,PRODUCT,2019
63,32,Male,BERLIN,BACKEND DEVELOPER,12.0,SENIOR,150000.0,English,1000+,PRODUCT,2019
64,27,Female,BERLIN,DATA SCIENTIST,3.0,MIDDLE,66000.0,English,100-1000,STARTUP,2019
65,30,Male,MUNICH,MOBILE DEVELOPER,8.0,SENIOR,60000.0,English,1000+,PRODUCT,2019
66,32,Male,BERLIN,BACKEND DEVELOPER,11.0,SENIOR,65000.0,English,50-100,PRODUCT,2019
67,23,Male,BERLIN,DATA SCIENTIST,3.0,MIDDLE,50000.0,English,50-100,STARTUP,2019
68,35,Male,MUNICH,EMBEDDED DEVELOPER,12.0,SENIOR,78000.0,English,100-1000,CONSULTING / AGENCY,2019
69,30,Male,MUNICH,DEVOPS,10.0,MIDDLE,80000.0,English,50-100,PRODUCT,2019
70,40,Male,MUNICH,MOBILE DEVELOPER,12.0,SENIOR,113000.0,English,10-50,PRODUCT,2019
71,27,Male,MUNICH,BACKEND DEVELOPER,5.0,SENIOR,70000.0,English,100-1000,CONSULTING / AGENCY,2019
72,36,Male,BERLIN,BACKEND DEVELOPER,14.0,SENIOR,73000.0,English,100-1000,PRODUCT,2019
73,36,Male,BERLIN,MANAGER,15.0,LEAD,80000.0,English,1000+,PRODUCT,2019
74,31,Male,BERLIN,FULLSTACK DEVELOPER,9.0,SENIOR,64000.0,English,10-50,STARTUP,2019
75,26,Male,MUNICH,QA,3.0,MIDDLE,58000.0,English,50-100,PRODUCT,2019
76,26,Male,MUNICH,FULLSTACK DEVELOPER,2.0,JUNIOR,60000.0,English,100-1000,PRODUCT,2019
77,32,Female,BERLIN,BACKEND DEVELOPER,12.0,SENIOR,96000.0,English,1000+,PRODUCT,2019
78,38,Male,BERLIN,BACKEND DEVELOPER,18.0,SENIOR,75000.0,English,100-1000,PRODUCT,2019
79,29,Male,MUNICH,BACKEND DEVELOPER,10.0,SENIOR,55000.0,English,100-1000,PRODUCT,2019
80,30,Male,BERLIN,DATA SCIENTIST,6.0,LEAD,115000.0,English,1000+,STARTUP,2019
81,26,Male,MUNICH,QA,6.0,MIDDLE,65000.0,English,1000+,PRODUCT,2019
82,30,Male,MUNICH,DEVOPS,10.0,MIDDLE,80000.0,English,1000+,PRODUCT,2019
83,32,Male,BERLIN,MOBILE DEVELOPER,7.0,MIDDLE,66000.0,English,1000+,PRODUCT,2019
84,35,Male,MUNICH,DEVOPS,16.0,SENIOR,72000.0,Deutsch,1000+,CONSULTING / AGENCY,2019
85,35,Male,BERLIN,FRONTEND DEVELOPER,11.0,SENIOR,72000.0,English,50-100,PRODUCT,2019
86,38,Male,BERLIN,DEVOPS,7.0,MIDDLE,67000.0,English,1000+,STARTUP,2019
87,36,Male,MUNICH,BACKEND DEVELOPER,14.0,SENIOR,70000.0,Deutsch,100-1000,PRODUCT,2019
88,32,Female,MUNICH,QA,5.0,MIDDLE,62000.0,English,1000+,PRODUCT,2019
89,30,Male,BERLIN,QA,9.0,SENIOR,67500.0,English,100-1000,PRODUCT,2019
90,33,Male,BERLIN,QA,8.0,SENIOR,75000.0,English,100-1000,STARTUP,2019
91,31,Male,FRANKFURT,SYSTEM ADMINISTRATOR,10.0,MIDDLE,56300.0,Deutsch_&_English,10-50,CONSULTING / AGENCY,2019
92,37,Male,BERLIN,BACKEND DEVELOPER,12.0,LEAD,89570.0,English,1000+,PRODUCT,2019
93,32,Female,BERLIN,PRODUCT MANAGER,3.0,MIDDLE,60000.0,English,50-100,STARTUP,2019
94,27,Male,BERLIN,MANAGER,2.0,MIDDLE,52000.0,English,100-1000,PRODUCT,2019
95,36,Male,BERLIN,SUPPORT,19.0,MIDDLE,36000.0,English,100-1000,STARTUP,2019
96,39,Female,HAMBURG,BACKEND DEVELOPER,2.0,MIDDLE,55000.0,Deutsch,100-1000,PRODUCT,2019
97,36,Male,BERLIN,MANAGER,14.0,SENIOR,95000.0,English,10-50,PRODUCT,2019
98,33,Male,BERLIN,BACKEND DEVELOPER,10.0,SENIOR,60000.0,English,10-50,PRODUCT,2019
99,30,Male,BERLIN,FRONTEND DEVELOPER,7.0,MIDDLE,56500.0,English,100-1000,PRODUCT,2019
100,32,Male,BERLIN,BACKEND DEVELOPER,12.0,SENIOR,68000.0,English,50-100,PRODUCT,2019
101,32,Male,BERLIN,BACKEND DEVELOPER,3.0,MIDDLE,74000.0,English,10-50,CONSULTING / AGENCY,2019
102,43,Male,BERLIN,QA,8.0,SENIOR,80000.0,English,10-50,STARTUP,2019
103,29,Male,BERLIN,BACKEND DEVELOPER,7.0,SENIOR,69000.0,English,1000+,PRODUCT,2019
104,32,Male,HAMBURG,SAP CONSULTANT,20.0,SENIOR,80000.0,Deutsch,1000+,CONSULTING / AGENCY,2019
105,29,Male,BERLIN,QA,9.0,SENIOR,66000.0,English,50-100,STARTUP,2019
106,32,Male,MUNICH,BACKEND DEVELOPER,6.0,MIDDLE,61000.0,English,100-1000,PRODUCT,2019
107,40,Male,BERLIN,SRE,20.0,SENIOR,70000.0,English,100-1000,PRODUCT,2019
108,33,Male,LEIPZIG,MOBILE DEVELOPER,13.0,SENIOR,56000.0,English,100-1000,CONSULTING / AGENCY,2019
109,32,Male,BERLIN,MOBILE DEVELOPER,7.0,SENIOR,68000.0,English,1000+,PRODUCT,2019
110,37,Male,BERLIN,MANAGER,14.0,SENIOR,80000.0,Russian,100-1000,PRODUCT,2019
111,36,Male,BERLIN,SOFTWARE ENGINEER,11.0,SENIOR,67000.0,Deutsch,100-1000,CONSULTING / AGENCY,2019
112,39,Male,BERLIN,BACKEND DEVELOPER,16.0,SENIOR,82000.0,English,100-1000,STARTUP,2019
113,27,Female,BERLIN,DATA SCIENTIST,2.0,MIDDLE,58500.0,English,50-100,STARTUP,2019
114,46,Male,BERLIN,SYSTEM ADMINISTRATOR,7.0,MIDDLE,45000.0,Deutsch,50-100,CONSULTING / AGENCY,2019
115,46,Male,BERLIN,DEVOPS,0.0,JUNIOR,55000.0,Deutsch,50-100,PRODUCT,2019
117,47,Male,BERLIN,EMBEDDED DEVELOPER,20.0,SENIOR,65000.0,English,1000+,BODYSHOP / OUTSOURCE,2019
118,40,Male,BERLIN,SOFTWARE ARCHITECT,18.0,SENIOR,94000.0,English,1000+,PRODUCT,2019
119,37,Male,BERLIN,FRONTEND DEVELOPER,10.0,SENIOR,66000.0,English,100-1000,PRODUCT,2019
120,36,Male,BERLIN,DEVOPS,10.0,MIDDLE,65000.0,English,50-100,PRODUCT,2019
121,44,Male,BERLIN,DATA ENGINEER,25.0,SENIOR,70000.0,English,100-1000,PRODUCT,2019
122,37,Female,BERLIN,BACKEND DEVELOPER,10.0,MIDDLE,57000.0,English,100-1000,PRODUCT,2019
123,30,Female,BERLIN,BACKEND DEVELOPER,4.0,MIDDLE,54000.0,English,50-100,PRODUCT,2019
124,33,Male,BERLIN,QA,8.0,SENIOR,63000.0,English,1000+,PRODUCT,2019
125,35,Male,MUNICH,SOFTWARE ARCHITECT,15.0,PRINCIPAL,120000.0,Deutsch,100-1000,CONSULTING / AGENCY,2019
126,25,Male,BERLIN,BUSINESS ANALYST,4.0,MIDDLE,60000.0,English,100-1000,PRODUCT,2019
127,25,Male,MUNICH,FRONTEND DEVELOPER,4.0,SENIOR,74000.0,English,1000+,PRODUCT,2019
128,32,Male,BERLIN,BACKEND DEVELOPER,11.0,SENIOR,70000.0,English,1000+,PRODUCT,2019
129,32,Male,MUNICH,DEVOPS,14.0,SENIOR,92000.0,English,1000+,PRODUCT,2019
130,42,Male,MUNICH,SOFTWARE ARCHITECT,20.0,SENIOR,106000.0,Deutsch,100-1000,PRODUCT,2019
131,42,Female,MUNICH,BUSINESS ANALYST,15.0,SENIOR,71000.0,Deutsch,1000+,BODYSHOP / OUTSOURCE,2019
132,34,Female,BERLIN,"DESIGNER (UI, UX)",8.0,SENIOR,52000.0,English,100-1000,STARTUP,2019
133,30,Male,BERLIN,BACKEND DEVELOPER,10.0,MIDDLE,70000.0,English,100-1000,PRODUCT,2019
134,45,Female,MUNICH,FRONTEND DEVELOPER,2.0,JUNIOR,36000.0,Deutsch,10-50,CONSULTING / AGENCY,2019
135,35,Male,FRANKFURT,QA,9.0,MIDDLE,60500.0,English,100-1000,BODYSHOP / OUTSOURCE,2019
